Course Name,Section,Day,Time,Room,Instructor,Sheet
Probability & Statistics,BCS-4E,Monday,08:30 AM - 10:00 AM,Seminar Hall,Ms. Kanwal Saleem,FSC TT (Spring 2025)
Probability & Statistics,BCS-4F,Monday,10:00 AM - 11:30 AM,Seminar Hall,Ms. Kanwal Saleem,FSC TT (Spring 2025)
Digital Logic Design,BCS-2C,Monday,11:30 AM - 01:00 PM,Seminar Hall,Mr. Waqar Baig,FSC TT (Spring 2025)
Software for Mobile Devices,BCS-6B,Monday,01:00 PM - 02:30 PM,Seminar Hall,Mr. Usman Anwar,FSC TT (Spring 2025)
Multivariable Calculus,BCS-2D,Monday,02:30 PM - 04:00 PM,Seminar Hall,Dr. Akhlaq Ahmad Bhatti,FSC TT (Spring 2025)
Database Systems,BCS-4B,Monday,08:30 AM - 10:00 AM,F-201,Dr. Zareen Alamgir,FSC TT (Spring 2025)
Database Systems,BCS-4C,Monday,10:00 AM - 11:30 AM,F-201,Dr. Zareen Alamgir,FSC TT (Spring 2025)
Applied Machine Learning,BCS-8C,Monday,11:30 AM - 01:00 PM,F-201,Mr. Razi uddin (VF),FSC TT (Spring 2025)
Applied Machine Learning,BCS-8A,Monday,01:00 PM - 02:30 PM,F-201,Dr. Kashif Zafar,FSC TT (Spring 2025)
Object Oriented Programming,BCS-2H,Monday,02:30 PM - 04:00 PM,F-201,Mr. Raziuddin,FSC TT (Spring 2025)
Fund. of Big Data Analytics,BDS-6A,Monday,04:00 PM - 05:30 PM,F-201,TBD,FSC TT (Spring 2025)
Software Quality Assurance,MSP-2A,Monday,05:30 PM - 07:00 PM,F-201,Dr. Ali Afzal Malik,FSC TT (Spring 2025)
Digital Image Processing,BCS-6A,Monday,08:30 AM - 10:00 AM,F-202,Dr. Asif Gilani,FSC TT (Spring 2025)
Compiler Construction,BCS-6C,Monday,10:00 AM - 11:30 AM,F-202,Dr. Aatira Anum,FSC TT (Spring 2025)
Digital Image Processing,BCS-6B,Monday,11:30 AM - 01:00 PM,F-202,Dr. Asif Gilani,FSC TT (Spring 2025)
Data Mining,BDS-6A,Monday,01:00 PM - 02:30 PM,F-202,Ms. Esha Tur Razia,FSC TT (Spring 2025)
Data Mining,BDS-6B,Monday,02:30 PM - 04:00 PM,F-202,Ms. Esha Tur Razia,FSC TT (Spring 2025)
Secure Systems Design,MCY-2A,Monday,05:30 PM - 07:00 PM,F-202,Dr. Ammar Haider,FSC TT (Spring 2025)
Software Re-Engineering,BSE-8A,Monday,10:00 AM - 11:30 AM,F-203,Dr. Farooq Ahmed,FSC TT (Spring 2025)
Software Re-Engineering,BSE-8B,Monday,11:30 AM - 01:00 PM,F-203,Dr. Farooq Ahmed,FSC TT (Spring 2025)
Compiler Construction,BCS-6A,Monday,01:00 PM - 02:30 PM,F-203,Dr. Faisal Aslam,FSC TT (Spring 2025)
Software Engineering,BCS-6J,Monday,02:30 PM - 04:00 PM,F-203,Mr. Zeeshan Nazar,FSC TT (Spring 2025)
Theory of Automata,BCS-6C,Monday,04:00 PM - 05:30 PM,F-203,Dr. Tahir Ejaz,FSC TT (Spring 2025)
Object Oriented Programming,BDS-2B,Monday,08:30 AM - 10:00 AM,F-204,Ms. Samin Iftikhar,FSC TT (Spring 2025)
Database Systems,BCS-4K,Monday,10:00 AM - 11:30 AM,F-204,Ms. Mamoona Majid,FSC TT (Spring 2025)
Object Oriented Programming,BDS-2A,Monday,11:30 AM - 01:00 PM,F-204,Mr. Usama Alvi,FSC TT (Spring 2025)
Object Oriented Programming,BCS-2F,Monday,01:00 PM - 02:30 PM,F-204,Mr. Uzair Naqvi,FSC TT (Spring 2025)
Data Science,BCS-8D,Monday,02:30 PM - 04:00 PM,F-204,Ms. Arooj Khalil,FSC TT (Spring 2025)
Brand Management,BCS-8B,Monday,04:00 PM - 05:30 PM,F-204,Mr. Saquib Bhatti (VF),FSC TT (Spring 2025)
Brand Management,BCS-8A,Monday,05:30 PM - 07:00 PM,F-204,Mr. Saquib Bhatti (VF),FSC TT (Spring 2025)
Digital Logic Design,BCS-2A,Monday,08:30 AM - 10:00 AM,F-205,Dr. Sobia Tariq,FSC TT (Spring 2025)
Data Structures,BCS-4B,Monday,10:00 AM - 11:30 AM,F-205,Ms. Marwa Khan,FSC TT (Spring 2025)
Com. Org. & Assembly Lang.,BDS-4A,Monday,11:30 AM - 01:00 PM,F-205,TBD,FSC TT (Spring 2025)
Com. Org. & Assembly Lang.,BDS-4B,Monday,01:00 PM - 02:30 PM,F-205,TBD,FSC TT (Spring 2025)
Advanced Programming,BCS-8A,Monday,02:30 PM - 04:00 PM,F-205,Ms. Hira Butt,FSC TT (Spring 2025)
